WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
20,Integrator,T+75d ,T+122d ,384,2mo 1w 3d,264,1mo 2w 3d,0%,,,,,,,,,5.4,,,,
20.1,Rack build time (parts arrival),T+75d ,T+94d ,160,1mo,160,1mo,0%,,,,,,,,,,,0,,
20.2,Confirm rack assembly.,T+95d ,T+96d ,16,2d,16,2d,0%,,,,,,,,,20.1,,0,,
20.3,provide pre-configuration (if needed),T+97d ,T+100d ,32,4d,32,4d,0%,,,,,,,,,20.2,,0,,
20.4,verify appropriate code revs.,T+101d ,T+101d ,8,1d,8,1d,0%,,,,,,,,,20.3,,0,,
20.5,verify appropriate cabling,T+102d ,T+102d ,8,1d,8,1d,0%,,,,,,,,,20.4,,0,,
20.6,Rack shipped to datacenter,T+118d ,T+122d ,40,1w,40,1w,0%,,,,,,,,,"5, 15.1, 20.5",,0,,
21,Location,T+108d ,T+136d ,232,1mo 1w 4d,816,5mo 2d,0%,,,,,,,,,5,,,,
21.1,Power circuits delivered,T+108d ,T+132d ,200,1mo 1w,200,1mo 1w,0%,,,,,,,,,,,0,,
21.2,low voltage cabling work,T+108d ,T+132d ,200,1mo 1w,200,1mo 1w,0%,,,,,,,,,,,0,,
21.3,misc (eg: bolt down system) work,T+108d ,T+122d ,120,3w,120,3w,0%,,,,,,,,,,,0,,
21.4,keycard/palm/fingerprint reader installed,T+108d ,T+132d ,200,1mo 1w,200,1mo 1w,0%,,,,,,,,,,,0,,
21.5,Cage ready,T+132d ,T+132d ,,,,,0%,,,,,,,,,"21.1, 21.2, 21.3, 21.4",,,,
21.6,Confirm ability to open tickets,T+133d ,T+133d ,8,1d,8,1d,0%,,,,,,,,,21.5,,0,,
21.7,confirm ability to visit,T+133d ,T+133d ,8,1d,8,1d,0%,,,,,,,,,21.5,,0,,
21.8,Open tickets for all incoming shipments,T+133d ,T+136d ,32,4d,32,4d,0%,,,,,,,,,21.5,,0,,
21.9,Open tickets for all needed crossconnects,T+133d ,T+134d ,16,2d,16,2d,0%,,,,,,,,,21.5,,0,,
21.10,Open tickets for boltdown,T+133d ,T+134d ,16,2d,16,2d,0%,,,,,,,,,21.5,,0,,
21.11,Open tickets to energize power,T+133d ,T+134d ,16,2d,16,2d,0%,,,,,,,,,21.5,,0,,
22,Racks-Ready,T+137d ,T+153d ,136,3w 2d,192,1mo 4d,0%,,,,,,,,,,,,,
22.1,Racks received at datacenter,T+137d ,T+139d ,24,3d,24,3d,0%,,,,,,,,,21,,0,,
22.2,Racks placed in datacenter,T+140d ,T+142d ,24,3d,24,3d,0%,,,,,,,,,22.1,,0,,
