WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
17.4,racks powered on.,T+83d ,T+83d ,8,1d,8,1d,0%,,,,,,,,,17.3,,0,,
17.5,Panels are set up to receive xconnects.,T+84d ,T+85d ,16,2d,16,2d,0%,,,,,,,,,17.4,,0,,
17.6,routers / switches BASE Config.,T+84d ,T+88d ,40,1w,40,1w,0%,,,,,,,,,17.4,,0,,
17.7,rack to spine interconnect cabling,T+84d ,T+88d ,40,1w,40,1w,0%,,,,,,,,,17.4,,0,,
18,Sundries work,T+80d ,T+91d ,96,2w 2d,96,2w 2d,0%,,,,,,,,,,,,,
18.1,Sundries arrive,T+80d ,T+89d ,80,2w,80,2w,0%,,,,,,,,,16,,0,,
18.2,Sundries unpacked/assembled,T+90d ,T+91d ,16,2d,16,2d,0%,,,,,,,,,18.1,,0,,
19,Network Provider bringup,T+89d ,T+94d ,48,1w 1d,48,1w 1d,0%,,,,,,,,,,,,,
19.1,Network provider xconnect finished,T+89d ,T+93d ,40,1w,40,1w,0%,,,,,,,,,17.6,,0,,
19.2,Network provider link working,T+94d ,T+94d ,8,1d,8,1d,0%,,,,,,,,,19.1,,0,,
20,Peering Fabric,T+89d ,T+91d ,24,3d,24,3d,0%,,,,,,,,,,,,,
20.1,Peering fabric xconnect finished,T+89d ,T+90d ,16,2d,16,2d,0%,,,,,,,,,17.6,,0,,
20.2,Peering Fabric link brought up,T+91d ,T+91d ,8,1d,8,1d,0%,,,,,,,,,20.1,,0,,
21,Networking,T+95d ,T+103d ,72,1w 4d,72,1w 4d,0%,,,,,,,,,,,,,
21.1,Routing ROAs created,T+95d ,T+96d ,16,2d,16,2d,0%,,,,,,,,,19,,0,,
21.2,Test all route objects.,T+97d ,T+98d ,16,2d,16,2d,0%,,,,,,,,,21.1,,0,,
21.3,Network Configuration Final,T+99d ,T+103d ,40,1w,40,1w,0%,,,,,,,,,21.2,,0,,
22,OOB verification,T+104d ,T+108d ,40,1w,40,1w,0%,,,,,,,,,21,,0,,
23,Documentation final updates,T+109d ,T+113d ,40,1w,40,1w,0%,,,,,,,,,"21, 22",,0,,
24,Server Imaging,T+104d ,T+128d ,200,1mo 1w,200,1mo 1w,0%,,,,,,,,,21,,,,
24.1,"Server services created (eg: Dns, dhcp)",T+104d ,T+108d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
24.2,Web/app/db configuration,T+109d ,T+118d ,80,2w,80,2w,0%,,,,,,,,,24.1,,0,,
24.3,Server end to end tests,T+119d ,T+123d ,40,1w,40,1w,0%,,,,,,,,,24.2,,0,,
24.4,Stress test,T+124d ,T+128d ,40,1w,40,1w,0%,,,,,,,,,24.3,,0,,
25,Monitoring:,T+119d ,T+133d ,120,3w,160,1mo,0%,,,,,,,,,24.2,,,,
25.1,"Syslog, SNMP, Sflow monitoring",T+119d ,T+123d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
25.2,System Monitoring,T+119d ,T+123d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
25.3,Grafana dashboards.,T+124d ,T+128d ,40,1w,40,1w,0%,,,,,,,,,25.2,,0,,
25.4,Alerting/escalation,T+129d ,T+133d ,40,1w,40,1w,0%,,,,,,,,,25.3,,0,,
26,Failure Testing,T+134d ,T+159d ,208,1mo 1w 1d,208,1mo 1w 1d,0%,,,,,,,,,25,,,,
26.1,"Fail a server (remove a drive, remove the network) - confirm alerts come in, confirm tickets are filed, and impact",T+134d ,T+136d ,24,3d,24,3d,0%,,,,,,,,,,,0,,
